Device Description,Grid,Date,Reading
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/1/2025,41153.2
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/2/2025,30694.4
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/3/2025,41910
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/4/2025,26030.4
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/5/2025,29163.2
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/6/2025,34988.8
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/7/2025,39652.8
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/8/2025,29920
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/9/2025,37932.4
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/10/2025,38152.4
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/11/2025,30043.2
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/12/2025,29352.4
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/13/2025,49759.6
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/14/2025,61573.6
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/15/2025,65084.8
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/16/2025,55048.4
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/17/2025,29818.8
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/18/2025,36009.6
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/19/2025,59276.8
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/20/2025,46120.8
EMH_528886_IIL-Incoming-2_SW31_T3,Landhi,10/21/2025,52452.4
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/1/2025,56222.96
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/2/2025,42475.5
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/3/2025,57340.85
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/4/2025,35955.9
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/5/2025,39237.03
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/6/2025,46763.58
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/7/2025,53500.78
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/8/2025,40427.46
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/9/2025,51657.54
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/10/2025,49613.77
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/11/2025,41289.34
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/12/2025,40243.99
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/13/2025,67747.46
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/14/2025,84037.91
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/15/2025,88475.33
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/16/2025,75372.14
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/17/2025,40773.06
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/18/2025,50437.25
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/19/2025,81046.92
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/20/2025,62601.76
EMH_528999_IIL-Incoming-1_SW32_T3,Landhi,10/21/2025,71113.92
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/1/2025,26133.85
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/2/2025,27447.62
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/3/2025,28955.31
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/4/2025,26419.09
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/5/2025,27081.89
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/6/2025,25502.26
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/7/2025,19148.45
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/8/2025,25788.99
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/9/2025,28023.96
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/10/2025,24809.73
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/11/2025,25052.96
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/12/2025,25034.02
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/13/2025,25032.02
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/14/2025,24887.5
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/15/2025,22410.17
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/16/2025,24421.66
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/17/2025,23933.32
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/18/2025,25107.18
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/19/2025,24523.06
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/20/2025,23574.71
MT-880_68520740_Pakistan-Steel-Yard_SWK28_T2,Maymar,10/21/2025,22082.9
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/1/2025,77807.24
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/2/2025,88590.86
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/3/2025,88472.34
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/4/2025,85419.98
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/5/2025,83866.75
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/6/2025,80848.07
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/7/2025,76177.13
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/8/2025,73284.57
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/9/2025,74306.49
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/10/2025,74302.38
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/11/2025,72468.09
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/12/2025,73713.54
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/13/2025,71211.53
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/14/2025,71769.36
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/15/2025,64232.05
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/16/2025,84745.42
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/17/2025,89614.55
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/18/2025,91130.63
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/19/2025,86868.84
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/20/2025,91099.36
MT-880_68520742_Alig-Old-Boys_SWK25_T2,Maymar,10/21/2025,93127.05
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/1/2025,51247.54
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/2/2025,53747.71
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/3/2025,50567.5
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/4/2025,51528.68
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/5/2025,52493.8
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/6/2025,44747.5
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/7/2025,43786.87
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/8/2025,36094.81
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/9/2025,40660.37
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/10/2025,39663.32
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/11/2025,40851.52
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/12/2025,39204.58
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/13/2025,38590.65
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/14/2025,37809.39
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/15/2025,37788.38
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/16/2025,37619.73
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/17/2025,36406.05
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/18/2025,37549
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/19/2025,37325.52
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/20/2025,38245.25
MT-880_68520763_FAMILY PARK_SWK29_T2,Maymar,10/21/2025,37478.81
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/1/2025,47066.76
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/2/2025,48887.47
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/3/2025,48660.28
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/4/2025,46799.55
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/5/2025,47506.26
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/6/2025,40278.22
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/7/2025,42062.41
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/8/2025,33979.41
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/9/2025,38259.68
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/10/2025,35823.74
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/11/2025,37689.96
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/12/2025,32658.88
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/13/2025,36554.74
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/14/2025,33834.47
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/15/2025,32768.83
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/16/2025,33638.87
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/17/2025,31363.81
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/18/2025,31820.33
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/19/2025,32500.81
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/20/2025,36345.74
MT-880_68520779_Diamond-City_SWK31_T2,Maymar,10/21/2025,31459.05
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/1/2025,1.1
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/2/2025,1.94
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/3/2025,0.67
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/4/2025,2.33
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/5/2025,2.7
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/6/2025,2.79
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/7/2025,1.11
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/8/2025,0.92
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/9/2025,0.53
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/10/2025,0.94
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/11/2025,0.42
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/12/2025,1.36
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/13/2025,0.86
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/14/2025,1.71
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/15/2025,1.4
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/16/2025,2.11
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/17/2025,1.13
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/18/2025,1.55
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/19/2025,1.62
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/20/2025,2.05
MT-880_68520784_Cap-2_SWK17_T2,Maymar,10/21/2025,0.37
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/1/2025,26135.11
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/2/2025,22757.44
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/3/2025,2671.19
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/4/2025,26423.5
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/5/2025,26160.43
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/6/2025,25214.8
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/7/2025,20945.92
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/8/2025,21479.55
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/9/2025,21732.14
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/10/2025,21971.56
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/11/2025,23558.63
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/12/2025,23066.85
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/13/2025,22127.44
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/14/2025,22207.33
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/15/2025,22772.21
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/16/2025,23866.99
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/17/2025,23426.11
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/18/2025,22694.18
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/19/2025,18423.78
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/20/2025,22878.04
MT-880_68520785_Ghaniabad_SWK26_T2,Maymar,10/21/2025,22551.87
MT-880_68520788_Al-Karam-Towel_SWK22_T2,Maymar,10/1/2025,149270.91
MT-880_68520788_Al-Karam-Towel_SWK22_T2,Maymar,10/2/2025,150255.07
MT-880_68520788_Al-Karam-Towel_SWK22_T2,Maymar,10/3/2025,133121.19
MT-880_68520788_Al-Karam-Towel_SWK22_T2,Maymar,10/4/2025,122943.35
MT-880_68520788_Al-Karam-Towel_SWK22_T2,Maymar,10/5/2025,66783.58
